Cites;Authors;title;Year;Source;Publisher;ArticleURL;CitesURL;GSRank;QueryDate;Type;DOI;ISSN;CitationURL;Volume;Issue;StartPage;EndPage;ECC;CitesPerYear;CitesPerAuthor;AuthorCount;Age;Abstract;FullTextURL;RelatedURL
0;R Roy;impact of lockdown on the economy of north bengal with special reference to tourism industry of darjeeling district;2021;The Covid;books.google.com;https://books.google.com/books?hl=en&lr=&id=fWwjEAAAQBAJ&oi=fnd&pg=PA46&dq=tourism+lockdown+economy&ots=fRZo_ol21m&sig=ZFHxKpzniGiz6xplboNN0TPkawk;;1;16.12.2021 01:34;;;;;;;;;0;0;0;1;1;Darjeeling can be called an ideal vacation destination. Its comfortable weekend entrances, landscapes, colourful lakes, lush green tea gardens, wildlife sanctuary, adventure sports, pilgrimage sites, and mountain retreats attract the people from the different parts of the …;;https://scholar.google.com/scholar?q=related:bfcFLMi44DIJ:scholar.google.com/&scioq=intitle:tourism+intitle:lockdown+intitle:economy&hl=en&as_sdt=2007
0;A Kar, HTK Le, HJ Miller;what is essential travel socio-economic differences in travel demand during the covid-19 lockdown;2021;;osf.io;https://osf.io/preprints/qtkhb/;;1;16.12.2021 01:47;;;;;;;;;0;0;0;3;1;The COVID-19 pandemic has profoundly reshaped urban mobility. During the lockdown, workers teleworked if possible and left home only for essential activities. Our study investigates the spatial patterns of essential travel and their socio-economic differences …;https://osf.io/qtkhb/download;https://scholar.google.com/scholar?q=related:k3HCG7YyaxwJ:scholar.google.com/&scioq=intitle:travel+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
