Cites;Authors;title;Year;Source;Publisher;ArticleURL;CitesURL;GSRank;QueryDate;Type;DOI;ISSN;CitationURL;Volume;Issue;StartPage;EndPage;ECC;CitesPerYear;CitesPerAuthor;AuthorCount;Age;Abstract;FullTextURL;RelatedURL
55;M Mahmud, E Riley;household response to an extreme shock evidence on the immediate impact of the covid-19 lockdown on economic outcomes and well-being in rural uganda;2021;World Development;Elsevier;https://www.sciencedirect.com/science/article/pii/S0305750X20304459;https://scholar.google.com/scholar?cites=18139205846492326428&as_sdt=2005&sciodt=2007&hl=en;9;16.12.2021 01:42;;;;;;;;;55;5500;28;2;1;We provide evidence on the economic and well-being impact of the Covid-19 lockdown on a sample of households in rural Uganda. Our sample consists of 1,277 households randomly drawn from 114 rural villages in western Uganda and surveyed in-person in early March …;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8446716/;https://scholar.google.com/scholar?q=related:HCrdm5xnu_sJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
52;TH Oum, K Wang;socially optimal lockdown and travel restrictions for fighting communicable virus including covid-19;2020;Transport Policy;Elsevier;https://www.sciencedirect.com/science/article/pii/S0967070X20305643;https://scholar.google.com/scholar?cites=17562308765331005193&as_sdt=2005&sciodt=2007&hl=en;2;16.12.2021 01:40;;;;;;;;;52;5200;26;2;1;This paper examines the socially optimal lockdown and travel (social activity) restriction policies for communicable virus including COVID-19. In our simple model, we exploit the remarkable similarity in the structure of external costs causing market failure between the …;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7346821/;https://scholar.google.com/scholar?q=related:CZ9I4cXaufMJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:travel+intitle:lockdown&hl=en&as_sdt=2007
51;U Khalid, LE Okafor, K Burzynska;does the size of the tourism sector influence the economic policy response to the covid-19 pandemic;2021;Current Issues in Tourism;Taylor & Francis;https://www.tandfonline.com/doi/abs/10.1080/13683500.2021.1874311;https://scholar.google.com/scholar?cites=7290618464540659232&as_sdt=2005&sciodt=2007&hl=en;1;16.12.2021 01:42;;10.1080/13683500.2021.1874311;;;;;;;51;5100;17;3;1;The COVID-19 pandemic has resulted in an unprecedented slowdown of economic activity worldwide, with an especially negative impact on the tourism sector. The adoption of international travel restrictions to contain the spread of the COVID-19 outbreak has brought …;;https://scholar.google.com/scholar?q=related:II7Zu916LWUJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:economic&hl=en&as_sdt=2007
50;T Mariolis, N Rodousakis, G Soklis;the covid-19 multiplier effects of tourism on the greek economy;2020;Tourism Economics;journals.sagepub.com;https://journals.sagepub.com/doi/abs/10.1177/1354816620946547;https://scholar.google.com/scholar?cites=16791561422076756606&as_sdt=2005&sciodt=2007&hl=en;2;16.12.2021 01:34;;10.1177/1354816620946547;;;;;;;50;5000;17;3;1;Using a multisectoral model and data from the Supply and Use Tables, this article estimates the COVID-19 multiplier effects of tourism on gross domestic product (GDP), total employment, and trade balance of the Greek economy. The results indicate that a—not …;https://journals.sagepub.com/doi/full/10.1177/1354816620946547;https://scholar.google.com/scholar?q=related:fsIJ2yWcB-kJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:economy&hl=en&as_sdt=2007
44;H Seraphin, F Dosquet;mountain tourism and second home tourism as post covid-19 lockdown placebo;2020;Worldwide hospitality and tourism themes;emerald.com;https://www.emerald.com/insight/content/doi/10.1108/WHATT-05-2020-0027/full/html;https://scholar.google.com/scholar?cites=7963272276307139135&as_sdt=2005&sciodt=2007&hl=en;1;16.12.2021 01:33;;10.1108/WHATT-05-2020-0027;;;;;;;44;4400;22;2;1;Purpose The purpose of this study adopts a news media narrative approach to Yield insights on aspects of the COVID-19 impact. Design/methodology/approach This study adopts a news media narrative approach as this method can yield insights on aspects of the COVID …;;https://scholar.google.com/scholar?q=related:P9oAr_E5g24J:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:lockdown&hl=en&as_sdt=2007
42;M Aragona, A Barbato, A Cavani, G Costanzo, ...;negative impacts of covid-19 lockdown on mental health service access and follow-up adherence for immigrants and individuals in socio-economic difficulties;2020;Public Health;Elsevier;https://www.sciencedirect.com/science/article/pii/S0033350620302936;https://scholar.google.com/scholar?cites=6917648182738778455&as_sdt=2005&sciodt=2007&hl=en;13;16.12.2021 01:42;;;;;;;;;42;4200;8;5;1;Objectives Lockdown measures in response to the coronavirus disease 2019 (COVID-19) pandemic can have serious mental health effects on the population, especially in vulnerable groups, such as those living in poor socio-economic conditions, those who are homeless …;https://www.ncbi.nlm.nih.gov/pmc/articles/pmc7409736/;https://scholar.google.com/scholar?q=related:V3lF9V5sAGAJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economic&hl=en&as_sdt=2007
42;BA Bhat, S Khan, S Manzoor, A Niyaz, ...;a study on impact of covid-19 lockdown on psychological health economy and social life of people in kashmir;2020;International Journal of …;academia.edu;https://www.academia.edu/download/63269135/IJSHR00520200511-114175-1qwsa6m.pdf;https://scholar.google.com/scholar?cites=12917297094907645319&as_sdt=2005&sciodt=2007&hl=en;6;16.12.2021 01:40;PDF;;;;;;;;42;4200;8;5;1;The 2019 corona virus disease (COVID-19) epidemic is a public health emergency of international concern and poses a challenge to psychological resilience, economy and social life of people. Research data are needed to develop evidence-driven strategies to …;https://www.academia.edu/download/63269135/IJSHR00520200511-114175-1qwsa6m.pdf;https://scholar.google.com/scholar?q=related:h80n4ER1Q7MJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economy&hl=en&as_sdt=2007
32;V Rawal, M Kumar, A Verma, ...;covid-19 lockdown impact on agriculture and rural economy;2020;Society for Social and …;archive.indianstatistics.org;http://archive.indianstatistics.org/sserwp/sserwp2003.pdf;https://scholar.google.com/scholar?cites=16793204161454015695&as_sdt=2005&sciodt=2007&hl=en;3;16.12.2021 01:40;PDF;;;;;;;;32;3200;8;4;1;SSER encourages the use, reproduction and dissemination of material in this monograph. Except where otherwise indicated, material may be copied, downloaded and printed for private study, research and teaching purposes, or for use in noncommercial products or …;http://archive.indianstatistics.org/sserwp/sserwp2003.pdf;https://scholar.google.com/scholar?q=related:zwQU7DVyDekJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:lockdown+intitle:economy&hl=en&as_sdt=2007
32;TD Pham, L Dwyer, JJ Su, T Ngo;covid-19 impacts of inbound tourism on australian economy;2021;Annals of Tourism Research;Elsevier;https://www.sciencedirect.com/science/article/pii/S0160738321000414;https://scholar.google.com/scholar?cites=13331067974636020945&as_sdt=2005&sciodt=2007&hl=en;5;16.12.2021 01:34;;;;;;;;;32;3200;8;4;1;The pandemic COVID-19 has severely impacted upon the world economy, devastating the tourism industry globally. This paper estimates the short-run economic impacts of the inbound tourism industry on the Australian economy during the pandemic. The analysis …;https://e-tarjome.com/storage/panel/fileuploads/2021-05-11/1620718495_E15375.pdf;https://scholar.google.com/scholar?q=related:0STEILF3AbkJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:tourism+intitle:economy&hl=en&as_sdt=2007
31;D Carrington;uk road travel falls to 1955 levels as covid-19 lockdown takes hold;2020;The Guardian;;;https://scholar.google.com/scholar?cites=16379106134309426644&as_sdt=2005&sciodt=2007&hl=en;19;16.12.2021 01:40;CITATION;;;;;;;;31;3100;31;1;1;;;https://scholar.google.com/scholar?q=related:1FXvuT9GTuMJ:scholar.google.com/&scioq=intitle:%22covid+19%22+intitle:travel+intitle:lockdown&hl=en&as_sdt=2007
